"OBJECTID","GlobalID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date","created_user","last_edited_date","last_edited_user"
1,"00000000-0000-0000-0000-000000000000","DC0117F3-D0A8-413F-8148-981062E475A9",0,0,"None",NA,1954,6450,"Esperance","Male",NA,NA,NA,NA,3,"Weto","Non-motorised boat, (sail boat)- not sure if ‘weto’ is brand or boat name, but there was no other number","17/1/22 1:32","Nicole.Hamre_UWA","17/1/22 4:14","Nicole.Hamre_UWA"
2,"00000000-0000-0000-0000-000000000000","066C421F-DB26-47F4-AC29-CCBB588DB176",10,20,"None",NA,1978,6446,"Esperance","Male",2,1,3,4,3,"Bm079",NA,"17/1/22 7:01","Nicole.Hamre_UWA","17/1/22 7:01","Nicole.Hamre_UWA"
3,"00000000-0000-0000-0000-000000000000","85E33D86-5FB0-4E33-B1C2-83C97E00C1EE",60,65,"None",NA,1946,6450,"Esperance","Male",NA,1,NA,NA,3,"90856",NA,"21/1/22 2:23","Nicole.Hamre_UWA","21/1/22 2:23","Nicole.Hamre_UWA"
4,"00000000-0000-0000-0000-000000000000","002A7396-A8CB-471F-8B2C-CC8DA5F4E356",6,38,"None",NA,1980,6450,"Esperance","Male",NA,1,NA,NA,3,"BG566",NA,"21/1/22 2:52","Nicole.Hamre_UWA","21/1/22 2:52","Nicole.Hamre_UWA"
5,"00000000-0000-0000-0000-000000000000","8F465EF1-5A7F-45A3-B450-E1D1EC4F282B",5,1,"None",NA,1970,6556,"Esperance","Female",NA,1,2,NA,3,"Gd329",NA,"21/1/22 3:01","Nicole.Hamre_UWA","21/1/22 3:01","Nicole.Hamre_UWA"
6,"00000000-0000-0000-0000-000000000000","00FE4BFA-98D7-4922-9759-94294DB3FE39",20,10,"None",NA,1992,6450,"Esperance","Female",NA,1,NA,NA,3,"42950",NA,"21/1/22 23:35","Nicole.Hamre_UWA","21/1/22 23:35","Nicole.Hamre_UWA"
7,"00000000-0000-0000-0000-000000000000","EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8",8,30,"None",NA,1973,6450,"Esperance","Male",NA,1,NA,NA,6,"48677","Lives half the year in Kalgoorlie","22/1/22 3:28","Nicole.Hamre_UWA","22/1/22 3:28","Nicole.Hamre_UWA"
8,"00000000-0000-0000-0000-000000000000","C53DAE6D-CFDF-4443-94C9-37E6EB756AE4",6,20,"None",NA,1975,6237,"PinkLake","Female",NA,1,NA,3,4,"D1578",NA,"22/1/22 3:59","Nicole.Hamre_UWA","22/1/22 3:59","Nicole.Hamre_UWA"
9,"00000000-0000-0000-0000-000000000000","B48CED61-1739-4972-A576-3E9B066098C5",5,20,"None",NA,1984,6447,"Esperance","Male",NA,2,NA,NA,6,"EB769","Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern","22/1/22 4:56","Nicole.Hamre_UWA","22/1/22 4:56","Nicole.Hamre_UWA"
10,"00000000-0000-0000-0000-000000000000","F6656FA9-F674-4580-9235-BF5D949A9879",2,30,"None",NA,1987,6432,"Esperance","Female",1,2,2,NA,7,"Gg053",NA,"22/1/22 5:03","Nicole.Hamre_UWA","22/1/22 5:03","Nicole.Hamre_UWA"
11,"00000000-0000-0000-0000-000000000000","B1C70484-6603-4D98-A5A6-49EEFCB6FBDE",10,35,"None",NA,1976,6448,"Esperance","Male",NA,NA,NA,NA,7,"CU900",NA,"22/1/22 6:56","Nicole.Hamre_UWA","22/1/22 6:56","Nicole.Hamre_UWA"
12,"00000000-0000-0000-0000-000000000000","5C97BB53-87BA-4BB2-B165-C7D919D44655",20,25,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,2,8,"Df511","Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club.","23/1/22 2:19","Nicole.Hamre_UWA","23/1/22 2:24","Nicole.Hamre_UWA"
13,"00000000-0000-0000-0000-000000000000","ED8BEE0F-B535-4255-9E07-2A0A2CDC5650",12,38,"None",NA,1980,6450,"Esperance","Male",1,NA,1,1,3,"GJ315",NA,"23/1/22 4:08","Nicole.Hamre_UWA","23/1/22 4:08","Nicole.Hamre_UWA"
14,"00000000-0000-0000-0000-000000000000","F850B07D-D08A-4597-8836-07CF3612057B",1,30,"None",NA,1977,6430,"Esperance","Male",NA,1,NA,NA,3,"BR445",NA,"23/1/22 4:40","Nicole.Hamre_UWA","23/1/22 4:40","Nicole.Hamre_UWA"
15,"00000000-0000-0000-0000-000000000000","1D84E23C-1C4A-468A-B00E-1099CC37D9B9",10,35,"DM",500,1977,6450,"Esperance","Male",1,NA,2,NA,3,"DD038","Commercial diver in the past","23/1/22 4:54","Nicole.Hamre_UWA","23/1/22 4:54","Nicole.Hamre_UWA"
16,"00000000-0000-0000-0000-000000000000","8EF85227-8AA8-41EC-B017-40CF8C1516CD",75,20,"None",NA,1999,6450,"Esperance","Male",NA,1,NA,NA,4,"AV079",NA,"23/1/22 5:16","Nicole.Hamre_UWA","23/1/22 5:16","Nicole.Hamre_UWA"
17,"00000000-0000-0000-0000-000000000000","27D42D98-C39D-4243-B705-15F8EE4F34F9",12,20,"None",0,1975,6237,"PinkLake","Female",0,1,0,4,4,"D1507","Flat rock - 2km off Wyllie point","20/1/22 3:21","Nicole.Hamre_UWA","20/1/22 3:21","Nicole.Hamre_UWA"
