"exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments","GlobalID","created_date","created_user","last_edited_date","last_edited_user","Did anything detract from your experience at this site?","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?","x","y"
"B48CED61-1739-4972-A576-3E9B066098C5","Boat","22/1/22","Trolling","Bait","8:00","11:30",30,4,10,0,"Nanniguie","EndOfDay",NA,"FE8F2342-BC3D-4E3B-A11A-D82433C29E21","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9601117,-34.0515122
"F6656FA9-F674-4580-9235-BF5D949A9879","Boat","22/1/22","Casting","Bait","11:00","12:40",15,10,10,0,"Herring","Weather",NA,"643082AD-B860-4C09-8F47-5B0CE5410C44","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9613312,-33.85609321
"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","Boat","22/1/22","Casting","Bait","4:45","6:00",55,0,1,0,NA,"Weather",NA,"D5C2D43F-4648-4D82-99B1-E96CA29E4500","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.8989057,-34.0312953
"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","Boat","22/1/22","Casting","Bait","6:30","11:00",50,0,0,0,"0","Weather",NA,"3D49D3D9-1298-46D4-AF88-590F5AD01279","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,122.0245078,-33.92317817
"5C97BB53-87BA-4BB2-B165-C7D919D44655","Boat","23/1/22","Demersal","Both","4:30","9:00",45,9,6,0,"Naniigue","LowCatch",NA,"36354998-1920-4CF5-B158-7434A3B4E7B2","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.2386315,-34.0352034
"5C97BB53-87BA-4BB2-B165-C7D919D44655","Boat","23/1/22","Trolling","Both","9:00","10:00",30,0,0,0,NA,"Weather",NA,"CF0B9554-6D89-4188-8B6D-2648BE9AF20F","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.2448962,-34.02972962
"ED8BEE0F-B535-4255-9E07-2A0A2CDC5650","Boat","23/1/22","Casting","Bait","11:00","12:00",8,0,0,0,NA,"ActivityChange",NA,"EA26CEDC-2091-4398-807D-57889022D4CE","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,121.9006254,-33.86632067
"F850B07D-D08A-4597-8836-07CF3612057B","Boat","23/1/22","Casting","Bait","10:00","12:00",15,3,4,0,"Black ark break sea cod,","Weather",NA,"286690C9-131D-4F8E-B246-6FCD3D8D1BC6","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,121.9027378,-33.91824485
"1D84E23C-1C4A-468A-B00E-1099CC37D9B9","Boat","22/1/22","Spearing","Bait","7:30","19:00",12,3,0,0,"Abalone, harlequin, queen snapper","EndOfDay","Thinks shark culls in recreational areas, they also swam throughout the day","5EDE66FB-050E-4DFD-A869-06A502C442D5","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.1103089,-33.99147852
"8EF85227-8AA8-41EC-B017-40CF8C1516CD","Boat","23/1/22","Casting","Bait","4:30","12:30",40,7,10,0,"Harlequin, rake sea cod, nanniguie","Weather",NA,"BE132FA8-156D-4C62-B11A-F4E2E23128C4","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.009084,-33.97452386
"27D42D98-C39D-4243-B705-15F8EE4F34F9","Boat",NA,"Demersal","Bait","6:15","7:15",20,0,2,0,"0","Explore",NA,"ED66FD40-BC30-4CAA-99E5-BEF2038E73FE","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,121.9961813,-33.85291861
"27D42D98-C39D-4243-B705-15F8EE4F34F9","Boat",NA,"Demersal","Bait","7:30","8:00",30,0,0,0,NA,"Weather",NA,"8DFC06D6-738B-4067-99C3-6B2F4DFA736D","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,121.9879837,-33.89986335
"27D42D98-C39D-4243-B705-15F8EE4F34F9","Boat","20/1/22","Demersal","Bait","8:15","11:00",20,1,7,0,"Herring","Weather",NA,"AD533387-2899-46F5-AAB5-F3AE5259F33C","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,121.987162,-33.85351972
"F11653EC-00B4-43A0-9CCC-17F9C2078A2F","Boat",NA,"Demersal","Bait","5:00","10:30",20,24,24,0,"School whiting","Weather",NA,"0254BD9D-9346-4203-8B3D-418DADCD12B7","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,122.0889533,-33.97366272
"88780BB7-D3CD-474A-8A17-F5540F5EFF05","Boat",NA,"Squidding","Lure","10:00","12:00",30,1,0,0,"Nannygui - sweet lips emp","Weather","Jigging","254536E0-B1C7-4168-AA01-A1CE39C83286","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,122.031923,-33.96890021
"5598B27D-78B7-4155-8248-6EA143F2D96E","Boat","20/1/20","Demersal","Both","8:30","12:00",30,6,10,0,"Nannygai (sweet lip emp), harlequin, swallow","Weather",NA,"B08E8275-9AD9-4DD7-A8EE-8E618359C8F5","20/1/22","Nicole.Hamre_UWA","20/1/22","Nicole.Hamre_UWA",NA,NA,121.9079748,-33.92482492
"16A592B9-B766-4033-9B88-4B4D26CC2052","Boat",NA,"Demersal","Bait","5:30","7:00",49,2,1,0,"Break sea cod","Explore",NA,"B3CCCF23-F2DE-49B7-9E86-B108D6640A4C","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,122.0223628,-33.87319646
"16A592B9-B766-4033-9B88-4B4D26CC2052","Boat",NA,"Demersal","Bait","7:30","8:30",40,2,2,0,"Harelequin","Necessity",NA,"E6B0747D-873A-4FE9-8B1A-32A4D04D7D2B","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.8940398,-33.92710788
"501E1D61-2B4A-4DE3-A678-D2B49F194587","Boat",NA,"Cray","Bait","9:45","11:00",18,0,0,0,NA,"Weather","Cray pot","2CF3E640-1435-43AD-A8AF-4F372240AD47","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9860512,-33.92350378
"C06C5453-0167-4963-A346-01E85FCC898F","Boat",NA,"Demersal","Bait","6:30","8:00",4,2,1,0,"King George whiting","LowCatch",NA,"71143F29-D40A-4676-A2EA-F99B4A14455B","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9051399,-33.86432369
"B2F19E9F-6083-46DC-9427-D3481F8723E0","Boat",NA,"Demersal","Bait","6:00","7:30",30,10,7,0,"Whiting and herring","Necessity",NA,"E78136FB-1806-41ED-8CB4-D294130A21B5","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.8148592,-33.89892013
"974D0FAF-1D97-467D-8888-96856BC06FA8","Boat",NA,"Trolling","Lure","7:00","8:00",0,0,0,0,NA,"LowCatch",NA,"85104A24-1A43-44FC-BF2C-864E054A890F","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9140674,-33.89309347
"09ABA671-9AAF-4D6D-AF23-CFCBC3DF4BB7","Boat",NA,"Demersal","Bait","9:00","10:30",24,2,5,0,"Harlequin, sweep","Weather",NA,"682982A1-376D-4AC5-AF45-90ADA3699609","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9810843,-33.91922569
"C3CC11AE-3809-4500-8943-37881670135A","Boat",NA,"Demersal","Bait","9:00","11:40",25,8,20,0,"Herring","EndOfDay",NA,"C71AA26F-E22C-47A6-92C5-0BEE73C44491","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9021188,-33.91576255
"046D21A2-3A21-47CE-851F-31C1F0F59EE4","Boat",NA,"Demersal","Bait","6:00","11:00",40,8,6,0,"Break sea cod, blue grouper","EndOfDay",NA,"875C00C5-6F18-4E5B-A669-E99E26AA60B2","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9815075,-34.0230489
"3AB81EEC-BDEB-41FE-8372-C88300E0E048","Boat",NA,"Squidding","Lure","7:00","12:30",30,5,0,0,"Squid, snook, yellowtail scad","Weather",NA,"EA0007B0-5B1B-4CFA-9531-62C49A2B7074","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9300484,-33.86325404
"D0591308-4E94-42F8-BAEA-12B0C6402E42","Boat",NA,"Demersal","Bait","11:00","11:30",0,0,1,0,NA,"LowCatch","Don’t know depth","F10B7293-56EF-45E1-92AB-E8FE67DF16C0","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9124051,-33.85796197
"D0591308-4E94-42F8-BAEA-12B0C6402E42","Boat",NA,"Demersal","Bait","12:00","12:40",0,0,0,0,NA,"Weather","Don’t know depth","FAF35DFD-CE2B-4823-8257-92CB78CFADE7","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9021789,-33.86936355
"6471CE97-77B6-4B12-8BEC-2F677699CE16","Boat","23/1/22","Squidding","Lure","8:00","8:15",3,0,0,0,NA,"LowCatch",NA,"B1F4B450-85E5-4E7D-97CF-CD552F39BF17","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.227993,-33.99204715
"6471CE97-77B6-4B12-8BEC-2F677699CE16","Boat",NA,"Demersal","Bait","8:15","10:15",30,1,10,0,"Break sea cod","EndOfDay",NA,"18D653C7-3504-4922-96F6-17E21FB02BAE","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.2249494,-34.00010589
"E18FFBD2-E2D8-43E7-99D0-9F27A0FAFB65","Boat",NA,"Demersal","Bait","6:30","10:30",40,9,1,0,"Break sea cod, nannygui, harlequin, queenside,","EndOfDay",NA,"3CAE9F6A-07CB-427B-8930-6C61857800AB","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,122.0081382,-34.04326231
"0BF88168-0B51-4C04-A5DF-1DE4806B8999","Boat",NA,"Demersal","Bait","5:30","11:00",70,9,10,0,"Breaks sea, nannagi, blue grouper","Weather",NA,"C70376F9-3D98-4526-A731-CC2B2F09E2AB","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,121.997422,-34.08619232
"F25D9CF6-3F24-4F14-BBCD-2DBCCE33B748","Boat",NA,"Demersal","Both","9:30","10:00",42,3,1,0,"Queen snapper, western blue devil, break sea cod","EndOfDay",NA,"2B168B5F-0A58-447F-8CEA-EE54C0B33BBF","23/1/22","Nicole.Hamre_UWA","23/1/22","Nicole.Hamre_UWA",NA,NA,121.9640163,-34.0295265
"A8FAD5C3-1E10-4509-A0C6-CDFA3CDB488D","Boat","23/1/22","Casting","Bait","5:00","12:00",35,6,7,0,"Black ass, harlequin, wolf cod","Weather",NA,"113713CA-D1EB-47CC-82FB-C7F1734CBB62","24/1/22","Nicole.Hamre_UWA","24/1/22","Nicole.Hamre_UWA",NA,NA,122.5964673,-33.92508789
"83AC31E8-784C-47C0-B795-092EA40248E9","Shore","1/2/22","Demersal","Bait","18:00","23:00",10,4,0,0,"Skippy","Necessity",NA,"13F2B930-FF5F-4295-AB26-05ADA46D1600","1/2/22","Nicole.Hamre_UWA","1/2/22","Nicole.Hamre_UWA",NA,NA,122.3591773,-33.91465023
"2F09F756-A353-4E72-9F94-435E303D7730","Boat",NA,"Demersal","Bait","5:00","10:00",20,0,15,0,NA,"Weather","Targeting whiting","65B071F7-3844-4F53-BD41-DBBA6AAD2FDD","16/2/22","Nicole.Hamre_UWA","16/2/22","Nicole.Hamre_UWA",NA,NA,122.0197829,-33.8761683
"D3F8D55D-3738-4225-9B21-28E068EFF9F6","Boat",NA,"Casting","Lure","10:50","11:40",15,0,2,0,NA,"Weather",NA,"DD6B4FA1-0A70-4096-88E6-EF334B63043F","16/2/22","Nicole.Hamre_UWA","16/2/22","Nicole.Hamre_UWA","Conditions",NA,121.9642637,-33.85306945
"62E5375B-D061-479F-B581-3C73FD465483","Boat",NA,"Demersal","Bait","8:00","11:30",72,7,4,0,"Nannagai, breakdea cod","Weather",NA,"98DE119C-FDC0-4D94-B9E6-8B7F34996F3F","16/2/22","Nicole.Hamre_UWA","16/2/22","Nicole.Hamre_UWA","Conditions",NA,121.8339723,-34.24484859
"E69FB4CE-15F4-42DF-B15F-104D24E102FD","Boat",NA,"Trolling","Bait","10:30","11:30",4,4,5,0,"Rock cod","Explore",NA,"23E6C5E7-648C-4032-BF8C-C3C421FB1D0A","17/2/22","Nicole.Hamre_UWA","17/2/22","Nicole.Hamre_UWA",NA,NA,122.588592,-33.93184125
"E69FB4CE-15F4-42DF-B15F-104D24E102FD","Boat",NA,"Squidding","Lure","11:30","11:50",3,2,0,0,"Squid","Necessity",NA,"E7E1966E-DC50-4207-B383-DA57D1D7C401","17/2/22","Nicole.Hamre_UWA","17/2/22","Nicole.Hamre_UWA",NA,NA,122.5823927,-33.92325562
"58875847-F392-4CCB-A35C-D050A4772A99","Boat",NA,"Demersal","Bait","9:30","12:15",12,6,7,0,"Herring, whiting","Necessity","Sea sickness","D855A05B-8475-4B4F-9A64-FE70E0D375A2","17/2/22","Nicole.Hamre_UWA","17/2/22","Nicole.Hamre_UWA","Other",NA,122.5921133,-33.92194294
"EF1BA608-26C6-4519-9B90-222D46B3B213","Boat",NA,"Trolling","Lure","6.3","8:00",3,3,4,0,"Herring","ActivityChange",NA,"BECB6592-914F-4F27-B15E-A751F071ADA4","18/2/22","Nicole.Hamre_UWA","18/2/22","Nicole.Hamre_UWA",NA,NA,121.9083772,-33.86538495
"F21004A8-9AC1-425C-8308-53EC87C6C32F","Boat",NA,"Casting","Bait","8:30","10:20",40,0,15,0,"Roc cod, Herron","ActivityChange",NA,"7C036710-81C2-48F1-B136-6A7D797FA1DA","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.94415,-33.86619652
"F3880ED3-A4EA-4797-AC02-1F119CE18FAB","Boat",NA,"Casting","Bait","9:30","11:00",15,0,0,0,NA,"Weather",NA,"4CAAA77F-6109-4433-9062-7F7232486E6E","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.9630565,-33.8550806
"2ED390D3-7607-4408-A22E-6C04C6DDCFA2","Boat",NA,"Trolling","Lure","9:00","10:00",30,0,2,0,NA,"Explore",NA,"03403F58-2993-4339-A14C-30DFB122B0AD","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0473497,-33.97410925
"2ED390D3-7607-4408-A22E-6C04C6DDCFA2","Boat",NA,"Trolling","Lure","9:30","10:30",20,0,2,0,NA,"EndOfDay",NA,"C10A2852-F6C1-411F-965C-AC0A39F0F434","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0020215,-34.05182923
"92645370-848A-4E6D-A542-2393E7EF0A34","Boat",NA,"Casting","Lure","7:30","10:30",40,4,6,0,"Break sea CD, harlequin, tuna","EndOfDay","Jigging","F5D236EE-07E9-41A1-B7B0-16D2600AE0EE","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.2219324,-34.13299964
"E2E76373-85B8-48E9-A054-04FA6B457658","Boat",NA,"Casting","Bait","5:30","11:00",30,0,12,0,NA,"Weather",NA,"48213236-27C9-40E1-A262-903B0DA1E997","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.7941032,-33.90996665
"BE8A3801-D779-4C30-B1DD-24C6590BAB15","Boat",NA,"Casting","Bait","8:20","11:45",23,15,15,1,"Whiting","Weather","Sea sickness,","99344C64-3864-4484-A7B7-F160A83EC55C","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA","Conditions",NA,121.8989234,-33.89093704
"97586454-4FD6-452B-A16B-87203E01E829","Boat",NA,"Trolling","Lure","8:30","9:30",24,0,0,0,NA,"Explore",NA,"81E3C235-22CD-4F92-9648-EA33D4C08246","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0064421,-34.03346045
"97586454-4FD6-452B-A16B-87203E01E829","Boat",NA,"Demersal","Bait","10:00","10:45",25,0,2,0,NA,"Explore",NA,"1741EBED-E6B8-4FFA-9A2A-97CD02C7E7D0","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.9690911,-34.0187487
"97586454-4FD6-452B-A16B-87203E01E829","Boat",NA,"Demersal","Bait","11:00","11:30",25,0,5,0,NA,"EndOfDay",NA,"868C507A-81F8-49F0-B3ED-0B8FCD653DA4","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.017998,-33.95525146
"443C5B72-922D-489E-9B6B-323F1CF6B92D","Boat",NA,"Trolling","Lure","8:30","9:00",2,0,0,0,NA,"LowCatch",NA,"319FBA48-446C-4079-B582-D717E35FB4AB","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.9024146,-33.91816024
"443C5B72-922D-489E-9B6B-323F1CF6B92D","Boat",NA,"Casting","Bait","9:30","11:00",11,4,3,0,"Herring","Weather",NA,"A08D4F92-A959-42F4-B88B-5F3189B4CB69","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.8557461,-33.88906629
"FCEDCDE4-5035-49E4-ABDB-AEE8F3CDF541","Boat",NA,"Trolling","Lure","8:00","9:00",5,0,0,0,NA,"Explore",NA,"90BFD2A4-E427-45B7-8930-624913BB379C","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0028315,-34.04645932
"FCEDCDE4-5035-49E4-ABDB-AEE8F3CDF541","Boat",NA,"Demersal","Bait","9:30","12:00",20,0,15,0,NA,"Weather",NA,"1CF4F421-4158-40B4-AADA-29430F93A398","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0470905,-33.96442498
"DA74E667-BB5F-4409-BA2C-9C3F043FA2F8","Boat",NA,"Casting","Bait","4:30","12:00",50,2,5,0,"Blue fin tuna","Weather",NA,"73C79657-66ED-4746-ABB5-72555A35AEAC","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.887053,-33.91680553
"88AE9399-037E-41E0-A7D7-5970E27D8280","Boat",NA,"Trolling","Lure","7:00","8:30",3,0,0,0,NA,"Weather",NA,"D8BAEEB2-B54A-48A9-A503-8B98D79CA240","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA","Conditions",NA,121.9052404,-33.91816798
"88AE9399-037E-41E0-A7D7-5970E27D8280","Boat",NA,"Trolling","Lure","9:00","11:00",3,5,2,0,"Blue fin tuna","ActivityChange",NA,"3D20668F-F2C1-4746-9E0D-9971614608E8","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0229442,-33.87913463
"88AE9399-037E-41E0-A7D7-5970E27D8280","Boat",NA,"Demersal","Lure","11:00","12:00",25,1,2,0,"Harlequin","ActivityChange",NA,"E6C7DA05-1DB8-4415-8857-C352BE50BA6D","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0137316,-33.96791448
"A1E5B056-77DA-48E8-BE2C-6F5762C26E08","Boat",NA,"Demersal","Bait","6:00","12:45",28,5,25,0,"Black ass, queens,","Weather",NA,"480DA055-1405-40F5-9747-5EB944FD6768","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.8656303,-33.89096585
"7EA34AF3-4664-4006-967E-CD1BDE677861","Boat",NA,"Demersal","Bait","6:00","12:30",60,40,10,0,"Sand whiting,","Weather",NA,"96F17C37-8530-4647-865F-AE33C7C00FD0","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.8636919,-33.89140582
"271B9B6C-327A-4C5C-B585-4F33C4ABFA3F","Boat",NA,"Demersal","Bait","7:30","13:00",50,10,2,0,"Nanniguie, queen fish, break sea cod, swallowtail,","Weather",NA,"181E4789-1C1E-4407-8BDC-AF8E544C2920","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.0300603,-34.0430493
"2C63B783-EFCB-4AA7-AD8D-F9B5486436F0","Boat",NA,"Demersal","Bait","7:00","11:30",60,29,15,1,"Harlequin, western blue devil, cuttlefish, black ass, queen snapper","BagLimit",NA,"34C83B2A-F37F-4BFF-8EB9-4F021C4C24B8","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,122.2445475,-34.16339394
"7AD0B93E-4BA7-486F-B539-40142D477788","Boat",NA,"Casting","Bait","7:00","12:30",55,10,5,0,"Nanneguie, break sea cod, blue grouper, queeny","Weather",NA,"641BE7AC-5DA2-40A8-A075-06C468818C00","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.9899518,-34.12079577
"C567F82A-55D0-4314-85EE-560D20D3AD5A","Boat",NA,"Demersal","Bait","8:30","13:00",25,8,0,0,"Black ass cod, harlequin, salmon","Weather",NA,"3E50B82E-CAC9-4B05-9A53-164A647BE3DB","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA",NA,NA,121.6763581,-34.00901711
"DCF47047-6C74-4E58-9E25-DFBB783E3919","Boat",NA,"Demersal","Both","6:30","14:00",65,9,12,0,"Nanniguie, gummy shark, black ass,","Weather",NA,"88D9DD83-9064-45DE-A9AE-5CD019EF96C7","19/2/22","Nicole.Hamre_UWA","19/2/22","Nicole.Hamre_UWA","Conditions",NA,122.2336772,-34.24680741
"76DDCB46-0C4E-4441-BD9E-3D890A74D6E6","Boat",NA,"Casting","Lure","8:00","9:55",0,24,100,0,"Herring","EndOfDay",NA,"FC7B9398-3E40-46B4-8894-3D321D50B3B9","22/2/22","Nicole.Hamre_UWA","22/2/22","Nicole.Hamre_UWA",NA,NA,121.9025289,-33.85329642
"15590A95-C762-42B4-8E38-6F479473BD1E","Boat","22/2/22","Cray",NA,"10:40","11:10",26,10,0,0,"Abalone","BagLimit","Scuba diving","5160B5DD-2842-4CC8-8721-DEEC50860FAE","22/2/22","Nicole.Hamre_UWA","22/2/22","Nicole.Hamre_UWA",NA,NA,121.9018589,-33.92542887
"15590A95-C762-42B4-8E38-6F479473BD1E","Boat","19/2/22","Cray",NA,"9:00","9:39",29,2,0,0,"Cray","Other","No air, scuba diving","98018F20-4C01-43D6-A007-443A168388B7","22/2/22","Nicole.Hamre_UWA","22/2/22","Nicole.Hamre_UWA",NA,NA,122.2256143,-33.99222005
